sigla,prcFlcn,closPric,dtTm
BOVB11,-1.0282994816010878,116.46,18:17:00
EUCA3,-2.56,24.36,18:05:00
TIET3,-1.0230179028132993,3.87,18:05:00
TIET4,-0.3401360544217687,2.93,18:06:00
EUCA4,2.4242424242424243,8.45,18:05:00
TIET11,-0.1913265306122449,15.65,18:07:00
EVEN3,-3.3180778032036615,16.9,18:07:00
KINP11,0,13.4,15:08:00
BAUH4,-0.6896551724137931,72,18:05:00
ABEV3,-1.780104712041885,18.76,18:09:00
AFLT3,0,11.1,18:05:00
BABA34,-0.2855438117967951,935.88,17:01:00
ALPA3,1.0580080262677856,27.7,17:25:00
RPAD6,-1.1351909184726523,9.58,17:17:00
RPAD5,-0.9287925696594427,9.6,17:19:00
RPAD3,-1.21580547112462,6.5,17:34:00
ALZR11,-0.5786873676781934,140.88,18:00:00
ALPA4,0.642148277875073,34.48,18:06:00
ALSO3,0.27548209366391185,54.6,18:09:00
APER3,-2.0149496262593436,30.15,18:05:00
B3SA3,-2.687569988801792,43.45,18:09:00
GOGL35,1.7078519018301426,241.19,18:00:00
GOGL34,1.7088607594936709,241.05,18:00:00
ALUP3,0.6999125109361329,11.51,18:06:00
ALUP4,1.1737089201877935,8.62,18:05:00
ALUP11,0.27981811822315494,28.67,18:06:00
AMZO34,0.8989996172268603,3901.28,16:53:00
BTOW3,2.5749817117776153,70.11,18:07:00
FBOK34,1.4142076502732241,463.97,16:53:00
VRTA11,-1.7688022284122562,141.06,18:00:00
BMGB4,0.4077471967380224,9.85,18:05:00
BIDI3,1.342281879194631,18.12,18:06:00
CBEE3,0,20.49,14:41:00
BCRI11,0,123.5,18:00:00
BEES4,-1.1283497884344147,7.01,18:05:00
BIDI11,1.3011152416356877,54.5,18:09:00
BEES3,0.8670520231213873,6.98,17:51:00
BIDI4,1.4606741573033708,18.06,18:09:00
BCSA34,0.5447941888619855,16.61,16:53:00
ABUD34,1.7822736030828517,338.08,16:53:00
AAPL34,0.42405551272166536,130.25,18:00:00
ANIM3,2.5,32.8,18:06:00
FDES11,0,0.5,14:05:00
ARMT34,-2.3660205245153936,34.25,17:01:00
FNAM11,-6.25,0.15,17:54:00
FNOR11,0,0.23,17:53:00
BTCR11,-0.24630541871921183,101.25,17:52:00
EDGA11,0.7289371079844041,59.42,17:54:00
FAED11,0.11778563015312132,297.5,18:00:00
BMLC11B,-4.017699115044247,108.46,18:05:00
CEOC11,-0.49246231155778897,99.01,18:05:00
FEXC11,0.24481944565882663,114.65,17:44:00
BCFF11,-0.8726003490401396,113.6,18:05:00
BBDC3,-2.2946859903381642,32.36,18:08:00
BBDC4,-1.754890678941312,34.15,18:07:00
